,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
24878,Non-Fatal,1804,2,500,1310,1.0,0,2,5,1983,12,10,0.0,1.0,0.0,1,0
24879,Non-Fatal,9981,2,500,222,1.0,0,2,2,1984,6,6,0.0,1.0,0.0,1,0
24880,Non-Fatal,7668,2,500,215,1.0,0,2,5,1983,7,5,0.0,2.0,0.0,2,0
24881,Non-Fatal,13200,0,500,783,2.0,3,2,4,1986,1,15,1.0,1.0,0.0,1,0
24882,Non-Fatal,11098,2,500,333,1.0,0,2,6,1982,6,26,1.0,1.0,0.0,1,0
24883,Fatal,7044,0,500,215,1.0,0,2,2,1990,8,19,4.0,4.0,100.0,0,0
24884,Non-Fatal,6709,2,500,215,1.0,0,2,5,1990,8,19,0.0,4.0,0.0,4,0
24885,Non-Fatal,2675,2,500,175,1.0,0,2,2,1984,12,25,2.0,2.0,0.0,2,0
24886,Non-Fatal,2470,2,500,132,1.0,0,2,5,1987,6,6,1.0,1.0,0.0,1,0
24887,Non-Fatal,2094,2,500,294,1.0,0,2,5,1983,7,6,0.0,3.0,0.0,3,0
24888,Non-Fatal,2920,0,500,334,1.0,0,2,9,1987,6,5,0.0,1.0,0.0,1,0
24889,Non-Fatal,11443,2,500,215,1.0,0,2,5,1987,6,5,0.0,3.0,0.0,3,0
24890,Non-Fatal,3508,2,500,6077,1.0,0,2,9,1990,8,23,0.0,2.0,0.0,2,0
24891,Non-Fatal,6164,2,500,270,1.0,0,2,0,1982,6,24,4.0,4.0,0.0,4,0
24892,Non-Fatal,8711,2,500,313,1.0,0,2,9,1990,8,22,0.0,3.0,0.0,3,0
24893,Non-Fatal,13532,2,500,289,1.0,0,2,5,1983,7,6,0.0,5.0,0.0,5,0
24894,Non-Fatal,7916,2,500,1319,1.0,0,2,5,1982,6,25,1.0,1.0,0.0,1,0
24895,Fatal,10201,2,500,440,1.0,0,0,2,1983,12,9,4.0,4.0,100.0,0,0
24896,Non-Fatal,4267,2,500,82,1.0,0,2,5,1987,6,6,0.0,1.0,0.0,1,0
24897,Non-Fatal,10911,2,500,263,1.0,0,2,5,1990,8,21,0.0,1.0,0.0,1,0
24898,Non-Fatal,3341,2,500,177,1.0,0,2,5,1986,1,16,0.0,1.0,0.0,1,0
24899,Non-Fatal,8971,2,500,137,1.0,0,2,5,1990,8,20,1.0,1.0,0.0,1,0
24900,Non-Fatal,4159,2,500,217,1.0,0,2,5,1982,6,25,0.0,2.0,0.0,2,0
24901,Non-Fatal,2193,2,500,137,1.0,0,2,5,1990,8,20,2.0,2.0,0.0,2,0
