,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
4182,Non-Fatal,6162,2,236,1365,1.0,0,2,9,1991,7,23,2.0,2.0,0.0,2,0
4183,Non-Fatal,9888,2,236,1440,1.0,0,2,2,1993,3,6,3.0,3.0,0.0,3,0
4184,Fatal,9919,0,236,2426,1.0,0,2,1,1991,8,3,3.0,3.0,100.0,0,0
4185,Non-Fatal,7869,2,236,982,2.0,3,2,2,1993,3,5,0.0,5.0,0.0,5,0
4186,Non-Fatal,10925,2,236,3713,1.0,0,2,2,1991,8,13,0.0,1.0,0.0,1,0
4187,Fatal,635,0,236,2962,1.0,0,2,6,1993,2,15,1.0,1.0,100.0,0,0
4188,Fatal,2907,0,236,698,1.0,0,0,2,1991,8,13,3.0,3.0,100.0,0,0
4189,Non-Fatal,8211,2,236,1228,1.0,0,2,9,1991,8,14,1.0,1.0,0.0,1,0
4190,Non-Fatal,12390,2,236,6475,1.0,0,2,5,1982,6,6,0.0,2.0,0.0,2,0
4191,Non-Fatal,2972,2,236,711,1.0,0,2,5,1991,8,15,0.0,4.0,0.0,4,0
4192,Non-Fatal,10934,2,236,2683,1.0,0,2,9,1993,2,11,3.0,3.0,0.0,3,0
4193,Fatal,1454,0,236,933,2.0,0,2,4,1991,8,16,1.0,1.0,100.0,0,0
4194,Non-Fatal,12058,2,236,2436,1.0,0,2,5,1993,2,15,0.0,1.0,0.0,1,0
4195,Non-Fatal,12638,2,236,3160,1.0,0,2,5,1982,7,25,0.0,3.0,0.0,3,0
4196,Non-Fatal,6081,2,236,943,2.0,0,2,5,1991,8,17,0.0,5.0,0.0,5,0
4197,Non-Fatal,10080,0,236,1896,1.0,0,2,5,1991,8,19,0.0,2.0,0.0,2,0
4198,Non-Fatal,11203,2,236,1909,1.0,0,2,2,1991,8,20,1.0,1.0,0.0,1,0
4199,Non-Fatal,7511,2,236,2961,2.0,0,0,9,1991,8,20,1.0,1.0,0.0,1,0
4200,Non-Fatal,7418,2,236,982,2.0,3,0,0,1993,1,29,0.0,8.0,0.0,8,0
4201,Non-Fatal,12388,2,236,1420,1.0,0,2,2,1991,8,21,1.0,2.0,0.0,2,0
4202,Non-Fatal,12096,2,236,1860,2.0,0,2,9,1982,7,24,1.0,1.0,0.0,1,0
4203,Non-Fatal,10976,2,236,3160,1.0,0,2,2,1993,2,7,0.0,1.0,0.0,1,0
4204,Non-Fatal,9428,2,236,941,2.0,0,2,5,1993,1,22,0.0,2.0,0.0,2,0
4205,Non-Fatal,5322,2,236,1294,2.0,0,2,5,1982,7,28,0.0,3.0,0.0,3,0
4206,Non-Fatal,3826,2,236,1228,1.0,0,2,5,1993,2,18,1.0,1.0,0.0,1,0
4207,Non-Fatal,6666,2,236,3779,1.0,0,2,2,1991,8,3,1.0,4.0,0.0,4,0
4208,Non-Fatal,1638,2,236,6470,1.0,0,2,5,1991,8,3,0.0,4.0,0.0,4,0
4209,Non-Fatal,2168,2,236,369,2.0,3,0,5,1993,3,2,0.0,6.0,0.0,6,0
4210,Fatal,4997,0,236,705,1.0,0,2,6,1991,8,4,1.0,1.0,100.0,0,0
4211,Fatal,11566,0,236,1896,1.0,0,2,6,1982,7,30,1.0,1.0,100.0,0,0
4212,Non-Fatal,4137,2,236,4424,1.0,0,2,3,1993,2,28,0.0,2.0,0.0,2,0
4213,Non-Fatal,98,2,236,1951,2.0,3,2,5,1982,7,28,0.0,2.0,0.0,2,0
4214,Non-Fatal,10988,2,236,1440,1.0,0,2,5,1993,2,24,0.0,6.0,0.0,6,0
4215,Non-Fatal,1691,2,236,2948,1.0,0,2,9,1982,7,29,0.0,2.0,0.0,2,0
4216,Non-Fatal,214,2,236,1946,2.0,3,2,0,1993,2,23,0.0,2.0,0.0,2,0
4217,Fatal,6790,0,236,2961,2.0,0,0,0,1993,2,23,1.0,1.0,100.0,0,0
4218,Non-Fatal,909,2,236,6475,1.0,0,2,9,1991,8,11,0.0,4.0,0.0,4,0
4219,Non-Fatal,11132,2,236,2390,2.0,3,2,8,1993,2,24,0.0,2.0,0.0,2,0
4220,Fatal,6589,0,236,1440,1.0,0,2,1,1991,10,14,2.0,2.0,100.0,0,0
4221,Non-Fatal,6008,2,236,1926,2.0,0,2,0,1992,9,23,0.0,4.0,0.0,4,0
4222,Non-Fatal,1693,2,236,1289,2.0,0,0,0,1992,2,8,1.0,1.0,0.0,1,0
4223,Non-Fatal,9270,0,236,1298,2.0,0,2,3,1982,6,21,2.0,2.0,0.0,2,0
4224,Non-Fatal,9119,0,236,539,1.0,0,2,2,1992,6,25,1.0,1.0,0.0,1,0
4225,Non-Fatal,3059,2,236,4141,1.0,0,2,9,1992,6,21,0.0,3.0,0.0,3,0
4226,Non-Fatal,6617,2,236,2660,2.0,0,2,5,1992,2,14,0.0,1.0,0.0,1,0
4227,Fatal,12519,0,236,6475,1.0,0,2,9,1992,6,17,2.0,4.0,25.0,3,0
4228,Non-Fatal,12162,2,236,2950,2.0,0,2,9,1992,2,16,0.0,5.0,0.0,5,0
4229,Non-Fatal,13451,2,236,1333,1.0,0,2,5,1992,6,16,0.0,2.0,0.0,2,0
4230,Fatal,8745,0,236,2046,2.0,3,2,0,1992,6,16,4.0,4.0,100.0,0,0
4231,Non-Fatal,11982,2,236,3779,1.0,0,0,2,1992,6,14,0.0,2.0,0.0,2,0
4232,Non-Fatal,4356,2,236,2357,1.0,0,2,5,1992,2,22,0.0,2.0,0.0,2,0
4233,Non-Fatal,10886,2,236,1442,1.0,0,2,1,1992,2,23,0.0,2.0,0.0,2,0
4234,Non-Fatal,3927,2,236,684,1.0,0,2,5,1992,6,13,1.0,1.0,0.0,1,0
4235,Fatal,8169,0,236,3510,2.0,0,0,4,1992,2,26,1.0,1.0,100.0,0,0
4236,Non-Fatal,5892,2,236,1228,1.0,0,2,0,1982,6,19,0.0,2.0,0.0,2,0
4237,Non-Fatal,1351,2,236,1440,1.0,0,2,2,1992,6,28,0.0,1.0,0.0,1,0
4238,Non-Fatal,13317,2,236,918,2.0,0,2,10,1992,2,6,1.0,1.0,0.0,1,0
4239,Non-Fatal,3767,2,236,2965,1.0,0,2,6,1992,7,17,0.0,2.0,0.0,2,0
4240,Fatal,4855,0,236,941,2.0,0,0,3,1992,7,15,2.0,2.0,100.0,0,0
4241,Non-Fatal,7256,0,236,933,2.0,0,2,5,1982,6,25,0.0,2.0,0.0,2,0
4242,Non-Fatal,2193,2,236,1422,1.0,0,0,2,1992,7,12,0.0,3.0,0.0,3,0
4243,Non-Fatal,2180,2,236,344,2.0,3,2,9,1992,7,11,0.0,16.0,0.0,16,0
4244,Non-Fatal,9084,2,236,694,1.0,0,2,3,1992,1,18,0.0,4.0,0.0,4,0
4245,Non-Fatal,12390,2,236,1439,1.0,0,2,5,1992,7,11,0.0,2.0,0.0,2,0
4246,Fatal,403,0,236,2449,2.0,3,2,0,1992,6,8,6.0,6.0,50.0,3,0
4247,Fatal,8646,0,236,6475,1.0,0,0,6,1982,6,24,6.0,6.0,100.0,0,0
4248,Fatal,6958,0,236,341,1.0,0,0,2,1982,1,2,2.0,2.0,100.0,0,0
4249,Fatal,9773,0,236,933,2.0,0,1,6,1992,7,8,2.0,2.0,100.0,0,0
4250,Non-Fatal,226,2,236,1440,1.0,0,2,3,1992,1,25,1.0,4.0,0.0,4,0
4251,Fatal,7321,0,236,6475,1.0,0,2,9,1992,1,26,1.0,1.0,100.0,0,0
4252,Non-Fatal,731,2,236,1302,2.0,3,0,10,1992,1,31,0.0,2.0,0.0,2,0
4253,Fatal,7854,2,236,4424,1.0,0,2,0,1992,6,30,1.0,1.0,100.0,0,0
4254,Fatal,981,0,236,1297,2.0,0,2,6,1992,2,3,2.0,2.0,100.0,0,0
4255,Fatal,713,0,236,1442,1.0,0,0,2,1992,6,29,1.0,1.0,100.0,0,0
4256,Non-Fatal,11285,2,236,1207,2.0,0,2,5,1992,6,8,0.0,2.0,0.0,2,0
4257,Non-Fatal,4267,0,236,3510,2.0,0,2,9,1982,6,18,0.0,1.0,0.0,1,1
4258,Non-Fatal,9501,2,236,6475,1.0,0,2,0,1992,6,6,1.0,2.0,0.0,2,0
4259,Fatal,11572,0,236,1440,1.0,0,2,2,1992,5,5,1.0,1.0,100.0,0,0
4260,Non-Fatal,10760,0,236,2368,2.0,0,2,5,1982,6,13,4.0,4.0,0.0,4,0
4261,Non-Fatal,7912,2,236,520,1.0,0,2,9,1992,5,3,3.0,3.0,0.0,3,0
4262,Fatal,9513,0,236,1436,1.0,0,2,4,1992,4,2,2.0,2.0,50.0,1,1
4263,Fatal,2647,0,236,1420,1.0,0,2,5,1992,5,2,2.0,2.0,100.0,0,0
4264,Fatal,635,0,236,1440,1.0,0,2,2,1992,5,2,1.0,1.0,100.0,0,0
4265,Non-Fatal,11110,2,236,2436,1.0,0,2,2,1992,4,29,0.0,2.0,0.0,2,0
4266,Non-Fatal,1098,2,236,1439,1.0,0,2,0,1982,6,12,3.0,3.0,0.0,3,0
4267,Non-Fatal,2918,2,236,2357,1.0,0,2,10,1992,3,28,0.0,1.0,0.0,1,0
4268,Non-Fatal,6599,1,236,344,2.0,3,2,10,1992,4,4,0.0,6.0,0.0,6,0
4269,Non-Fatal,12684,2,236,3779,1.0,0,2,9,1992,4,6,0.0,1.0,0.0,1,0
4270,Non-Fatal,12245,2,236,694,1.0,0,2,0,1982,6,8,0.0,1.0,0.0,1,0
4271,Non-Fatal,9291,0,236,518,1.0,0,2,2,1992,4,25,0.0,1.0,0.0,1,0
4272,Fatal,10424,0,236,694,1.0,0,2,0,1992,4,25,3.0,3.0,100.0,0,0
4273,Fatal,7044,0,236,5540,1.0,0,2,9,1992,4,24,2.0,2.0,100.0,0,0
4274,Non-Fatal,10248,2,236,1896,1.0,0,2,4,1982,6,11,0.0,2.0,0.0,2,0
4275,Fatal,11716,0,236,2447,2.0,3,0,0,1992,4,9,2.0,2.0,100.0,0,0
4276,Fatal,8240,0,236,2961,2.0,0,0,2,1992,4,22,9.0,9.0,100.0,0,0
4277,Non-Fatal,8033,2,236,1920,1.0,0,2,2,1992,4,21,0.0,1.0,0.0,1,0
4278,Non-Fatal,3680,2,236,2961,2.0,3,2,9,1992,4,15,0.0,16.0,0.0,16,0
4279,Non-Fatal,5359,2,236,6475,1.0,0,2,5,1992,4,26,0.0,3.0,0.0,3,0
4280,Non-Fatal,6338,2,236,3691,1.0,0,2,2,1992,1,12,0.0,1.0,0.0,1,0
4281,Non-Fatal,8871,2,236,1851,1.0,0,2,3,1992,3,28,0.0,2.0,0.0,2,0
4282,Non-Fatal,9756,0,236,2359,1.0,0,2,5,1992,3,28,0.0,2.0,0.0,2,0
4283,Non-Fatal,7058,2,236,918,2.0,0,2,9,1992,3,2,0.0,3.0,0.0,3,0
4284,Non-Fatal,9883,2,236,1419,1.0,0,2,5,1982,6,18,0.0,1.0,0.0,1,0
4285,Non-Fatal,3076,2,236,4424,1.0,0,2,5,1992,6,2,1.0,1.0,0.0,1,0
4286,Non-Fatal,4203,0,236,3160,1.0,0,2,5,1982,6,17,1.0,1.0,0.0,1,0
4287,Non-Fatal,9411,2,236,2426,1.0,0,2,5,1992,3,6,0.0,3.0,0.0,3,0
4288,Fatal,6492,0,236,698,1.0,0,0,2,1992,5,31,1.0,1.0,100.0,0,0
4289,Fatal,635,0,236,5443,1.0,0,0,9,1992,5,27,2.0,2.0,100.0,0,0
4290,Fatal,3148,0,236,1947,2.0,0,2,2,1992,3,28,3.0,3.0,100.0,0,0
4291,Non-Fatal,12546,2,236,6475,1.0,0,2,5,1982,1,1,0.0,1.0,0.0,1,0
4292,Non-Fatal,8026,2,236,1228,1.0,0,2,5,1992,5,20,0.0,1.0,0.0,1,0
4293,Fatal,2974,0,236,5540,1.0,0,2,2,1992,5,17,1.0,1.0,100.0,0,0
4294,Non-Fatal,10815,2,236,2426,1.0,0,2,5,1992,5,16,0.0,2.0,0.0,2,0
4295,Fatal,7260,0,236,977,2.0,0,0,2,1992,5,16,2.0,2.0,100.0,0,0
4296,Non-Fatal,6638,2,236,3159,1.0,0,2,2,1992,3,20,0.0,1.0,0.0,1,0
4297,Non-Fatal,8416,0,236,1440,1.0,0,2,3,1982,6,15,1.0,1.0,0.0,1,0
4298,Non-Fatal,10561,2,236,2046,2.0,3,0,1,1992,5,13,0.0,2.0,0.0,2,0
4299,Fatal,9613,0,236,3159,1.0,0,0,3,1992,3,27,2.0,2.0,100.0,0,0
4300,Non-Fatal,8339,2,236,1440,1.0,0,2,2,1992,3,15,4.0,4.0,0.0,4,0
4301,Non-Fatal,13237,2,236,933,2.0,0,2,0,1992,1,12,0.0,5.0,0.0,5,0
4302,Non-Fatal,4896,2,236,1440,1.0,0,2,9,1992,1,11,0.0,2.0,0.0,2,0
4303,Fatal,3906,0,236,504,1.0,0,2,4,1992,7,21,3.0,3.0,100.0,0,0
4304,Fatal,8868,0,236,6475,1.0,0,2,3,1991,11,3,2.0,2.0,100.0,0,0
4305,Fatal,11846,0,236,2950,2.0,0,0,6,1992,9,4,2.0,2.0,100.0,0,0
4306,Non-Fatal,5685,2,236,6470,1.0,0,2,2,1982,7,5,0.0,1.0,0.0,1,0
4307,Non-Fatal,12103,1,236,2449,2.0,3,2,8,1991,11,8,1.0,8.0,0.0,8,0
4308,Non-Fatal,10999,0,236,946,2.0,0,2,9,1982,7,5,1.0,1.0,0.0,1,0
4309,Non-Fatal,1594,2,236,2357,1.0,0,2,0,1991,11,9,1.0,1.0,0.0,1,0
4310,Non-Fatal,8996,2,236,1907,1.0,0,2,2,1982,7,5,2.0,2.0,0.0,2,0
4311,Non-Fatal,5441,2,236,2681,2.0,0,2,2,1991,11,10,0.0,11.0,0.0,11,0
4312,Fatal,9759,0,236,2086,1.0,0,2,0,1992,9,1,2.0,2.0,100.0,0,0
4313,Non-Fatal,11369,2,236,1423,1.0,0,2,9,1992,8,30,2.0,2.0,0.0,2,0
4314,Fatal,11774,0,236,2055,2.0,0,2,8,1991,11,14,1.0,3.0,33.33333333333333,2,0
4315,Non-Fatal,9433,2,236,2426,1.0,0,2,5,1992,8,28,0.0,2.0,0.0,2,0
4316,Fatal,386,0,236,2426,1.0,0,0,3,1991,11,17,1.0,1.0,100.0,0,0
4317,Non-Fatal,4161,2,236,1896,1.0,0,2,2,1991,11,20,0.0,4.0,0.0,4,0
4318,Fatal,5941,0,236,6477,1.0,0,2,9,1991,11,20,1.0,1.0,100.0,0,0
4319,Fatal,10651,0,236,1894,2.0,3,0,0,1991,11,22,3.0,3.0,100.0,0,0
4320,Non-Fatal,905,2,236,2297,2.0,3,2,5,1991,11,25,0.0,3.0,0.0,3,0
4321,Fatal,7990,0,236,694,1.0,0,1,11,1992,8,17,2.0,2.0,100.0,0,0
4322,Non-Fatal,4901,2,236,1423,1.0,0,2,5,1992,8,31,2.0,2.0,0.0,2,0
4323,Non-Fatal,6425,2,236,3387,1.0,0,2,9,1992,8,17,0.0,3.0,0.0,3,0
4324,Non-Fatal,5280,2,236,1228,1.0,0,2,10,1982,7,7,0.0,1.0,0.0,1,0
4325,Non-Fatal,1854,0,236,1419,1.0,0,2,5,1982,7,10,3.0,3.0,0.0,3,0
4326,Non-Fatal,1149,2,236,1440,1.0,0,2,9,1992,9,21,1.0,1.0,0.0,1,0
4327,Non-Fatal,352,2,236,2965,1.0,0,2,5,1992,9,21,0.0,3.0,0.0,3,0
4328,Non-Fatal,11164,2,236,1440,1.0,0,2,0,1991,10,17,1.0,1.0,0.0,1,0
4329,Non-Fatal,4347,2,236,1915,1.0,0,2,5,1982,7,9,0.0,4.0,0.0,4,0
4330,Non-Fatal,263,2,236,2084,2.0,3,2,5,1991,10,19,0.0,9.0,0.0,9,0
4331,Non-Fatal,10424,2,236,2679,1.0,0,2,5,1992,9,17,0.0,2.0,0.0,2,0
4332,Fatal,8259,0,236,1207,2.0,0,2,6,1992,9,16,2.0,2.0,100.0,0,0
4333,Non-Fatal,9642,2,236,933,2.0,0,2,3,1991,10,21,1.0,1.0,0.0,1,0
4334,Non-Fatal,3878,2,236,1418,1.0,0,2,0,1991,10,22,0.0,2.0,0.0,2,0
4335,Non-Fatal,1698,2,236,696,1.0,0,2,5,1992,9,13,0.0,2.0,0.0,2,0
4336,Non-Fatal,1232,2,236,1907,1.0,0,2,9,1991,10,29,0.0,2.0,0.0,2,0
4337,Fatal,5437,0,236,3387,1.0,0,2,2,1992,9,11,2.0,2.0,100.0,0,0
4338,Non-Fatal,4132,2,236,2375,2.0,0,2,0,1991,10,30,0.0,5.0,0.0,5,0
4339,Non-Fatal,10438,2,236,341,1.0,0,2,1,1992,9,9,0.0,1.0,0.0,1,0
4340,Non-Fatal,2584,2,236,1291,2.0,0,2,5,1982,8,6,0.0,4.0,0.0,4,0
4341,Non-Fatal,9535,2,236,353,1.0,0,2,5,1992,8,16,0.0,4.0,0.0,4,0
4342,Non-Fatal,4358,2,236,941,2.0,0,2,5,1982,7,3,0.0,4.0,0.0,4,0
4343,Non-Fatal,4718,2,236,694,1.0,0,2,3,1982,6,28,0.0,4.0,0.0,4,0
4344,Non-Fatal,13198,2,236,933,2.0,0,2,0,1992,8,1,0.0,2.0,0.0,2,0
4345,Fatal,9051,0,236,6475,1.0,0,2,9,1992,7,31,3.0,3.0,100.0,0,0
4346,Non-Fatal,8228,2,236,353,1.0,0,2,5,1992,7,30,0.0,1.0,0.0,1,0
4347,Fatal,13457,0,236,1440,1.0,0,2,6,1991,12,25,5.0,5.0,60.0,2,0
4348,Fatal,1211,0,236,943,2.0,0,0,2,1991,12,26,5.0,5.0,100.0,0,0
4349,Fatal,1165,0,236,344,2.0,3,2,0,1991,12,28,3.0,3.0,100.0,0,0
4350,Fatal,1737,0,236,1440,1.0,0,0,2,1992,8,5,1.0,1.0,100.0,0,0
4351,Non-Fatal,12571,2,236,1298,2.0,0,2,9,1991,12,29,0.0,5.0,0.0,5,0
4352,Non-Fatal,3093,2,236,920,2.0,0,2,3,1992,7,28,2.0,4.0,0.0,4,0
4353,Non-Fatal,739,2,236,3545,1.0,0,2,9,1992,7,27,0.0,1.0,0.0,1,0
4354,Non-Fatal,905,2,236,2681,2.0,0,2,2,1982,6,26,0.0,2.0,0.0,2,0
4355,Fatal,4387,0,236,344,2.0,3,0,0,1992,1,3,4.0,4.0,50.0,2,0
4356,Non-Fatal,1418,0,236,2426,1.0,0,2,9,1982,6,7,0.0,3.0,0.0,3,0
4357,Non-Fatal,1237,2,236,1896,1.0,0,2,9,1992,1,3,0.0,1.0,0.0,1,0
4358,Fatal,9640,0,236,1367,1.0,0,0,0,1992,1,4,4.0,4.0,25.0,3,0
4359,Fatal,3121,0,236,933,2.0,0,0,1,1992,7,23,2.0,2.0,100.0,0,0
4360,Non-Fatal,9823,2,236,2692,2.0,0,2,9,1992,7,22,0.0,2.0,0.0,2,0
4361,Fatal,6926,0,236,2426,1.0,0,0,2,1991,12,29,2.0,2.0,100.0,0,0
4362,Non-Fatal,9402,2,236,2692,2.0,0,2,9,1992,8,14,2.0,2.0,0.0,2,0
4363,Fatal,6812,0,236,2436,1.0,0,0,2,1992,8,5,1.0,1.0,100.0,0,0
4364,Non-Fatal,9990,2,236,2447,2.0,3,2,0,1992,8,6,0.0,1.0,0.0,1,0
4365,Non-Fatal,12676,0,236,1442,1.0,0,0,0,1992,8,14,4.0,4.0,0.0,4,0
4366,Non-Fatal,8496,2,236,1207,2.0,0,2,2,1992,8,13,1.0,1.0,0.0,1,0
4367,Non-Fatal,13199,0,236,3338,2.0,0,2,9,1991,12,4,0.0,1.0,0.0,1,0
4368,Fatal,49,0,236,6475,1.0,0,0,2,1982,7,2,2.0,2.0,100.0,0,0
4369,Non-Fatal,8302,2,236,1920,1.0,0,0,0,1991,12,5,0.0,2.0,0.0,2,0
4370,Non-Fatal,4961,2,236,1440,1.0,3,0,2,1992,8,12,1.0,1.0,0.0,1,0
4371,Non-Fatal,6316,2,236,694,1.0,0,2,2,1991,12,6,1.0,1.0,0.0,1,0
4372,Fatal,3149,0,236,2426,1.0,0,0,1,1991,12,13,4.0,4.0,100.0,0,0
4373,Non-Fatal,398,2,236,1440,1.0,0,2,0,1992,8,11,0.0,3.0,0.0,3,0
4374,Non-Fatal,3752,2,236,6470,1.0,0,2,0,1991,12,10,0.0,2.0,0.0,2,0
4375,Fatal,10427,0,236,1440,1.0,0,0,9,1991,12,10,4.0,4.0,25.0,3,0
4376,Non-Fatal,9085,2,236,2449,2.0,3,2,0,1992,8,8,0.0,2.0,0.0,2,0
4377,Fatal,10645,0,236,736,2.0,1,0,1,1991,12,11,9.0,9.0,100.0,0,0
4378,Non-Fatal,7136,2,236,2961,2.0,0,2,5,1982,6,30,1.0,1.0,0.0,1,0
4379,Non-Fatal,3608,2,236,539,1.0,0,2,5,1992,8,8,3.0,3.0,0.0,3,0
4380,Non-Fatal,1108,2,236,2679,1.0,0,2,5,1992,8,8,0.0,2.0,0.0,2,0
4381,Non-Fatal,12955,2,236,507,1.0,0,2,9,1992,8,11,0.0,3.0,0.0,3,0
4382,Non-Fatal,145,2,236,2426,1.0,0,2,5,1982,8,6,0.0,2.0,0.0,2,0
4383,Non-Fatal,5498,2,236,2695,2.0,0,2,0,1993,11,9,0.0,2.0,0.0,2,0
4384,Fatal,4827,0,236,941,2.0,0,0,2,1991,3,1,1.0,1.0,100.0,0,0
4385,Non-Fatal,1856,0,236,2074,1.0,0,2,9,1991,3,2,2.0,2.0,0.0,2,0
4386,Non-Fatal,13191,0,236,3103,1.0,0,1,6,1991,3,3,4.0,4.0,0.0,4,0
4387,Non-Fatal,10602,2,236,1920,1.0,0,2,9,1993,11,3,0.0,1.0,0.0,1,0
4388,Non-Fatal,4091,2,236,918,2.0,0,2,5,1991,3,5,0.0,2.0,0.0,2,0
4389,Fatal,13359,0,236,933,2.0,0,2,6,1991,3,5,2.0,2.0,100.0,0,0
4390,Non-Fatal,1085,2,236,1364,1.0,0,2,0,1993,10,30,0.0,1.0,0.0,1,0
4391,Fatal,9320,0,236,1440,1.0,0,2,11,1993,10,29,3.0,3.0,100.0,0,0
4392,Fatal,6223,0,236,699,1.0,0,2,9,1991,3,9,3.0,3.0,100.0,0,0
4393,Fatal,5680,2,236,369,2.0,3,2,2,1982,9,17,2.0,3.0,66.66666666666666,1,0
4394,Non-Fatal,5778,2,236,3382,2.0,0,2,9,1982,9,17,0.0,1.0,0.0,1,0
4395,Non-Fatal,10844,2,236,3159,1.0,0,2,2,1993,10,27,1.0,3.0,0.0,3,0
4396,Fatal,11230,0,236,6465,1.0,0,0,6,1993,11,12,4.0,4.0,100.0,0,0
4397,Non-Fatal,4208,2,236,1832,1.0,0,2,0,1982,9,19,0.0,1.0,0.0,1,0
4398,Non-Fatal,4043,0,236,1365,1.0,0,0,2,1993,11,14,3.0,9.0,0.0,9,0
4399,Non-Fatal,3488,2,236,2426,1.0,0,2,0,1993,12,23,0.0,2.0,0.0,2,0
4400,Fatal,11331,0,236,3122,1.0,0,0,0,1991,2,5,1.0,1.0,100.0,0,0
4401,Fatal,7092,0,236,1920,1.0,0,2,3,1993,12,13,2.0,2.0,100.0,0,0
4402,Fatal,11386,0,236,2069,2.0,0,0,9,1991,2,7,3.0,3.0,66.66666666666666,1,0
4403,Fatal,2068,0,236,4141,1.0,0,2,1,1993,12,11,3.0,3.0,100.0,0,0
4404,Non-Fatal,11779,2,236,933,2.0,0,2,5,1991,2,8,0.0,4.0,0.0,4,0
4405,Non-Fatal,10424,2,236,369,2.0,3,2,9,1993,10,27,0.0,5.0,0.0,5,0
4406,Non-Fatal,10543,2,236,1947,2.0,0,2,2,1991,2,9,0.0,3.0,0.0,3,0
4407,Non-Fatal,12955,0,236,2432,1.0,0,0,5,1982,9,22,0.0,1.0,0.0,1,1
4408,Non-Fatal,3334,2,236,4530,1.0,0,2,2,1991,2,10,3.0,3.0,0.0,3,0
4409,Non-Fatal,3107,2,236,504,1.0,0,2,9,1993,12,6,2.0,2.0,0.0,2,0
4410,Fatal,9203,0,236,3159,1.0,0,2,1,1991,2,13,4.0,4.0,100.0,0,0
4411,Non-Fatal,2557,2,236,2426,1.0,0,1,9,1991,2,14,0.0,2.0,0.0,2,0
4412,Non-Fatal,11928,0,236,933,2.0,0,2,0,1993,11,26,3.0,3.0,0.0,3,0
4413,Non-Fatal,10710,2,236,1289,2.0,0,2,2,1991,2,18,0.0,3.0,0.0,3,0
4414,Non-Fatal,12212,2,236,3387,1.0,0,2,5,1991,2,10,4.0,4.0,0.0,4,0
4415,Non-Fatal,13698,2,236,2426,1.0,0,2,3,1982,9,17,0.0,5.0,0.0,5,0
4416,Fatal,11865,0,236,3159,1.0,0,2,6,1991,3,10,2.0,2.0,100.0,0,0
4417,Fatal,863,0,236,3545,1.0,0,2,11,1982,9,16,1.0,1.0,100.0,0,0
4418,Fatal,11887,0,236,3387,1.0,0,0,6,1982,1,19,2.0,2.0,100.0,0,0
4419,Non-Fatal,2043,2,236,3159,1.0,0,2,10,1991,3,26,0.0,2.0,0.0,2,0
4420,Fatal,13129,0,236,3387,1.0,0,2,3,1993,10,2,1.0,1.0,100.0,0,0
4421,Fatal,10658,0,236,1289,2.0,0,2,2,1993,10,2,2.0,2.0,100.0,0,0
4422,Fatal,12667,0,236,941,2.0,0,2,6,1991,3,27,2.0,2.0,100.0,0,0
4423,Non-Fatal,13253,2,236,1907,1.0,0,2,9,1982,9,11,0.0,1.0,0.0,1,0
4424,Non-Fatal,5292,2,236,1439,1.0,0,2,2,1993,10,1,0.0,3.0,0.0,3,0
4425,Non-Fatal,12047,0,236,6466,1.0,0,2,2,1991,3,28,1.0,1.0,0.0,1,0
4426,Non-Fatal,4814,2,236,3545,1.0,0,2,5,1991,3,24,0.0,2.0,0.0,2,0
4427,Non-Fatal,5612,0,236,1440,1.0,0,2,8,1993,9,27,0.0,2.0,0.0,2,0
4428,Non-Fatal,4000,2,236,1365,1.0,0,2,9,1993,9,25,0.0,2.0,0.0,2,0
4429,Fatal,6292,0,236,946,2.0,0,2,9,1991,4,1,3.0,3.0,100.0,0,0
4430,Fatal,9181,0,236,2436,1.0,0,2,6,1993,9,24,1.0,1.0,100.0,0,0
4431,Non-Fatal,5067,2,236,2426,1.0,0,2,9,1982,9,9,1.0,1.0,0.0,1,0
4432,Non-Fatal,4552,2,236,4563,1.0,0,2,2,1991,4,3,0.0,2.0,0.0,2,0
4433,Non-Fatal,8765,2,236,932,2.0,0,2,5,1991,4,4,0.0,2.0,0.0,2,0
4434,Non-Fatal,5962,2,236,249,2.0,0,2,0,1993,9,20,0.0,1.0,0.0,1,0
4435,Non-Fatal,12408,2,236,694,1.0,0,2,2,1982,9,8,0.0,1.0,0.0,1,0
4436,Non-Fatal,5442,2,236,1439,1.0,0,2,2,1991,3,30,0.0,1.0,0.0,1,0
4437,Fatal,2102,0,236,1294,2.0,0,0,6,1991,3,24,3.0,3.0,100.0,0,0
4438,Fatal,12407,0,236,1440,1.0,0,0,0,1993,10,8,1.0,1.0,100.0,0,0
4439,Non-Fatal,3722,0,236,6475,1.0,0,2,9,1991,3,10,0.0,4.0,0.0,4,0
4440,Fatal,4286,0,236,601,2.0,3,0,6,1993,10,26,3.0,3.0,100.0,0,0
4441,Non-Fatal,6976,2,236,1207,2.0,0,2,5,1993,10,26,0.0,3.0,0.0,3,0
4442,Fatal,2150,0,236,933,2.0,0,0,2,1982,1,20,2.0,2.0,100.0,0,0
4443,Non-Fatal,9201,0,236,1440,1.0,0,0,0,1991,3,12,2.0,2.0,0.0,2,0
4444,Non-Fatal,5773,2,236,1915,1.0,0,2,2,1993,10,24,2.0,2.0,0.0,2,0
